"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
656794,"Newcomb, Sean","L",1221,9999,"31.1",2.3973761181247526,6.0104914004914,0.2148160092761697,4.692843499089756
656848,"Petersen, Michael","R",130,144,"46.9",-1.4038619664030685,6.373,0.2994931317701906,4.549505854243796
656849,"Peterson, David","L",1869,121,"40.6",1.8141952142529962,6.12959871589085,-0.0730551873660598,4.511537343122472
656876,"Rasmussen, Drew","R",1545,139,"55.1",-1.1459528925188094,5.922595469255663,0.16939349641474713,4.034737804256154
656896,"Rivera, Emmanuel","R",1,110,"18.1",-2.667130215684792,5.98,-0.4331833333333333,5.2448999999999995
656945,"Scott, Tanner","L",703,119,"34.6",2.2511295796096285,5.24294452347084,0.420621021823963,3.9812540423902654
656986,"Sousa, Bennett","L",618,117,"54.5",1.1235115863970164,6.360226537216828,-0.2264403480839232,4.469672261737881
657006,"Steele, Justin","L",268,112,"44.7",1.6992481852062244,6.112164179104478,0.07614831125123048,4.5039745776465265
657024,"Swanson, Erik","R",128,141,"53.2",-1.3885515636361314,6.17015625,-0.08386161778631908,4.426479545454545
657044,"Thompson, Ryan","R",523,109,"-8.3",-3.3121571395538476,3.7008413001912044,-0.8507036714007695,4.058042193160943
657053,"Toussaint, Touki","R",36,108,"31.0",-2.2077541538300687,5.539166666666667,-0.11741830808080808,4.27934705882353
657097,"Webb, Jacob","R",725,140,"34.0",-2.1560973069512546,5.552496551724138,-0.2720260726535128,4.280924782838527
657240,"Merryweather, Julian","R",353,112,"57.0",-0.9786666800192806,6.248186968838527,0.3718392772921685,4.170515103543349
657277,"Webb, Logan","R",2221,137,"22.4",-2.639303078612124,5.017699234579019,-0.49484583131684995,4.131903114252946
657376,"Schmidt, Clarke","R",1226,147,"35.1",-1.9090026694725248,5.600048939641109,0.02792885105250761,4.235467386730757
657424,"Gage, Matt","L",170,9999,"51.5",1.4382251085052515,6.381588235294117,-0.033923868092691614,4.531384317919681
657514,"Bernardino, Brennan","L",721,111,"17.9",2.3998981851480456,5.0501386962552015,0.2519618391222332,4.356979640947288
657571,"Ferguson, Caleb","L",662,134,"45.9",1.5173160391091274,5.913867069486405,-0.15961767546623154,4.182236464072034
657585,"Garrett, Reed","R",746,121,"34.2",-1.8117649489431455,5.650214477211796,0.03161292191748744,4.394516728553474
657612,"Hill, Tim","L",661,147,"-23.6",3.1439407312841827,3.062980332829047,0.9639081070111994,4.01556046960663
657649,"Koenig, Jared","L",709,158,"30.4",2.508516851840193,5.89867418899859,0.4839471116206452,4.710922831987007
657746,"Ryan, Joe","R",1903,142,"24.7",-2.079759860451225,4.805055176037835,0.024524753532043878,3.836273260954886
657756,"Seabold, Connor","R",104,139,"20.1",-2.6483028522810743,5.019326923076923,-0.608419651549431,4.2737641248457425
660271,"Ohtani, Shohei","R",237,119,"34.4",-2.04019769439384,5.684725738396624,-0.16108945899802193,4.400842905601059
660604,"Rangel, Alan","R",165,143,"71.5",-0.30167591537989674,6.306060606060606,0.4774533700642792,3.9724844935990924
660730,"Rodríguez, Elvin","R",313,158,"50.1",-1.4555181594512903,6.004057507987221,-0.021639237611977703,4.288675608082327
660761,"Suarez, José","L",123,144,"41.0",1.8031475892164985,5.608211382113821,0.17174295755257019,4.186283929684217
660787,"De los Santos, Yerry","R",369,147,"29.5",-2.1227499438850597,5.986910569105691,-0.083605783081895,4.836032630706877
660825,"Bazardo, Eduard","R",863,136,"44.9",-1.5221017437365536,5.852201622247972,0.12684491947627044,4.210195725023392
660853,"De Los Santos, Enyel","R",755,144,"24.2",-2.523608744507408,5.456317880794702,-0.3533471034458335,4.481332201721146
660896,"Alcala, Jorge","R",756,9999,"51.5",-1.3836783627486227,6.637222222222222,0.11361508632072358,4.752458771774703
661395,"Duran, Jhoan","R",765,142,"32.7",-2.141856567336373,6.004653594771241,-0.06834178369624737,4.6722823315042
