"","Name","Position","1B_total","2B_total","3B_total","HR_total","BB_total","SO_total","RBI_total","SB_total","R_total","H_total","FPTS"
"51","Alek Thomas","LF",58.1855532794573,17.7992245229413,2.71324928554075,8.73616110549876,46.2255300970496,90.4526358209158,40.669840519467,7.03979554281243,45.3061929947057,87.4341881934381,314.299964226903
"52","Alex Binelas","1B/3B",7.04055176240769,1.92701677259493,0.31372863231172,1.74732889638609,11.3093152627307,21.8827164538448,6.46974256437773,0.864522890635194,6.57270449765449,11.0286260637004,32.9065924163006
"53","Alex Bregman","3B",89.6150684042562,27.3380016154454,1.11722327098035,21.1633748771877,134.73141848016,89.1886590199437,76.9779892593738,2.48969716857655,77.9986945244285,139.23366816787,579.041299225013
"54","Alex Call","OF",26.4996819607293,8.03917916023444,0.469711276438101,4.80313168213734,45.7280232958507,37.1627851706247,21.1745713090429,3.09839949767897,24.2682991148778,39.8117040795392,154.201593749115
"55","Alex De Goti",NA,7.32885344025268,1.91565635227186,0.000369772330119522,0.347865321391185,10.9096585697676,14.9893347274932,3.96119423383826,0.517676354143602,5.36522083639688,9.59274488624585,26.5929832167288
"56","Alex De Jesus",NA,7.56985198690552,2.09790864913012,0.315459839130007,0.877241355110898,9.62534797202842,21.9367727186314,5.49470569049712,0.523189475531651,5.91946239697291,10.8604618302765,27.9425227279227
"57","Alex Freeland","SS/3B/2B",19.0889735394355,6.46844163723028,0.26217383073064,4.65759684303055,34.2119142156065,42.9870993079573,17.4537199756005,3.58164901687914,19.5559808742496,30.477185850427,110.001387937836
"58","Alex Jackson","C",8.64514947278874,4.01857301421014,0.202931481264303,3.01786193215488,11.7529616339954,27.7338003369769,9.61353711443841,0.309737149791054,10.0201632468291,15.8845159004181,53.3412066485392
"59","Alex Mooney","SS/3B/2B",8.3016566014285,2.71185205878797,0.156234022411338,0.695031898175163,11.923832979173,26.2900684538297,5.77184958698429,2.23928431484313,7.5390544113088,11.864774580803,29.9638593998515
"60","Alex Ramírez",NA,10.4872199426356,2.3507483529665,0.164637939004964,0.741198952579977,11.3423748011432,21.1231321032673,5.70228170069759,3.39227202742208,7.98440085325851,13.7438051871871,42.0908591283885
"61","Alex Verdugo","LF/RF",21.500488915793,6.37725215671774,0.227960576531058,2.55073403942835,21.3578908516173,21.1527726878059,13.4778210902609,0.805559298030862,16.1126515919907,30.6564356884702,115.697941785952
"62","Alexander Canario",NA,6.48599847891284,2.1162115485395,0.160251094543091,1.95411087200864,8.69804388087949,17.8006744381038,5.91239388452426,0.702745683546401,5.98919395799385,10.7165719940041,35.2524214236246
"63","Alexander Ramirez","LF/RF/CF",5.21430475498327,1.27714852498562,0.156217214578151,1.38923195753222,5.79610362916924,28.3979571411565,5.77217448559157,1.03350956415451,5.86524663741191,8.03690245207926,14.1409597289779
"64","Alexander Vargas","SS/3B/2B",9.29373453791533,2.07919052967968,0.62476801131348,1.21708775029555,6.82718766001242,18.1302248357101,6.11217771262466,2.07029764132381,7.04746217289214,13.214780829204,43.724044981936
"65","Alexis Hernandez","2B/SS/3B",5.94767239145486,1.35710525431056,0.156158387161995,0.782143800316127,7.16051415515017,14.905166687371,4.20895056017433,1.3778849826275,5.03012552093552,8.24307983324355,24.4568873056799
"66","Alexis Hernandez","RF/LF/CF",5.94767239145486,1.35710525431056,0.156158387161995,0.782143800316127,7.16051415515017,14.905166687371,4.20895056017433,1.3778849826275,5.03012552093552,8.24307983324355,24.4568873056799
"67","Alfonsin Rosario","CF/RF/LF",10.250207446084,3.0299184431137,0.312165503825306,3.12338452703953,13.6249715488981,31.6826137852722,10.8768254636073,1.37722438672153,10.0496195430742,16.7156759200626,53.7924864002015
"68","Alfredo Velásquez","2B/SS/3B",10.5830830994946,1.12035752104442,0.312552083988612,0.174606450138257,3.07127285538031,8.36670030046944,3.79862253847248,1.72258662130096,6.20166885509676,12.1905991546659,42.1972562178347
"69","Ali Camarillo","SS/3B/2B",11.5535678724196,2.39209157669477,0.156166791078589,0.174356898492826,9.19713789509017,16.545036421381,5.27720903057381,1.54948957325564,5.36401604173997,14.2761831386858,41.7017234945763
"70","Ali Sánchez","C",6.64412271113935,1.51377803841949,0.00344560580338646,0.907869660393515,6.4130669465662,12.0039801523571,4.81137915841396,0.189701656249562,4.38630625876594,9.06921601575575,28.8353331995464
"71","Alika Williams","SS/3B/2B",14.5923246043695,3.40698773101957,0.551103840337873,1.34079882220475,11.4128470133115,19.1434537879595,8.29268803155323,0.758001509714656,9.92107730686162,19.8912149979317,68.0335499322746
"72","Allan Castro","CF/RF/LF",11.0802474167794,3.19596054956945,0.468634835901265,1.21845196595724,13.6495673618984,19.0085798559846,7.59695437819107,1.55190360273916,7.8885665601309,15.9632947682074,53.7073151089424
"73","Allan Cerda",NA,3.75119090602301,1.59680935426897,0.156603794741458,1.39151119589383,9.89172283257615,18.4792307767711,4.78925454550267,0.345867875890163,4.53206158149018,6.89611525092726,17.9608495103271
"74","Ambioris Tavarez","2B/SS",9.76312896381706,1.59657683104598,0.156318061577274,1.04136663614103,11.5832454860485,31.8661097971339,5.935789276486,1.89397101329378,6.70241102050239,12.5573904925813,25.3715458535159
"75","Amed Rosario","INF/OF",46.702961159242,11.2759667727826,1.59875735197212,4.88252139812438,23.1908199307177,47.4840987813484,27.8591961467199,5.60631865663137,29.6195292968591,64.4602066821211,238.102611036325
"76","Anderdson Rojas","3B/2B/RF",11.7155889156691,2.39275592876045,0.468130600905648,0.347815411062099,10.2185405952843,16.5434354803266,5.60732849997481,2.23788156798108,8.70918943820217,14.9242908563973,49.1562999587814
"77","Anderson De Los Santos","3B/1B",8.13921249462963,1.91421138652902,0.468080177406086,1.38866630713591,12.2657941746194,21.0755138573578,6.43049823260328,1.37800731520268,5.53274814286646,11.9101703657006,35.0126215931655
"78","Andre Lipcius",NA,11.4566047503322,2.82522373879566,0.16319246535086,2.3274470980102,14.1184904616137,18.7817751725943,9.52766562445418,0.540218169996512,8.83849748558126,16.772468052489,60.5759602284325
"79","Andrew Benintendi","LF",73.7459447807107,19.3995821265991,1.14619929698874,15.2142437413012,87.6403729257805,84.0016629844125,56.3271206301926,3.19741055091653,53.9741928327051,109.5059699456,425.349682810681
"80","Andrew Cossetti","C/1B",5.5723949959385,2.72445813923418,0.313106742483792,1.57004392525354,12.3343811691163,20.3136518029925,6.46179109846265,0.347140134672021,6.23400293872683,10.18000380291,31.3300971775615
